"","url","title","snippet","date"
"12","https://www.breitbart.com/europe/2024/09/23/ukraines-zelensky-to-present-victory-plan-to-biden-harris-and-trump/","Ukraine's Zelensky to Present 'Victory Plan' to Biden, Harris, and ...","Sep 23, 2024 ... Zelensky will present his proposals for ""victory"" to President Joe Biden, as well as presidential hopefuls Kamala Harris and Donald Trump.",2024-09-23
"13","https://www.breitbart.com/entertainment/2024/09/28/nbc-news-kamala-harriss-celebrity-heavy-campaign-creates-troubling-criticism-democrats-cater-to-hollywood-not-average-americans/","NBC News: Kamala Harris's Celeb-Heavy Campaign Could Hurt ...","Sep 28, 2024 ... Hollywood celebrities are lining up to endorse Kamala Harris in the final stretch of the election cycle, providing her campaign with an abundance of free ...",2024-09-28
"14","https://www.breitbart.com/entertainment/2024/09/29/snl-jokes-about-deadly-trump-assassination-attempt-disgusting/","'SNL' Jokes About Deadly Trump Assassination Attempt: 'Disgusting'","Sep 29, 2024 ... “Saturday Night Live” began its 50th season with a parade of former co-stars, including Maya Rudolph as Vice President Kamala Harris, Andy Samberg as her ...",2024-09-29
"15","https://www.breitbart.com/2024-election/2024/09/29/donald-trump-joe-biden-became-mentally-impaired-kamala-born-that-way/","Trump: 'Biden Became Mentally Impaired, Kamala Was Born that Way'","Sep 29, 2024 ... Vice President Kamala Harris was born “mentally impaired,” former President Donald Trump said Saturday in Wisconsin, mocking his political opponent.",2024-09-29
"16","https://www.breitbart.com/2024-election/2024/09/26/house-oversight-committee-investigates-zelenskys-taxpayer-funded-trip-pennsylvania/","House Oversight Committee Probes into Zelensky's 'Taxpayer ...","Sep 26, 2024 ... ... Kamala Harris to win.' The Committee seeks to determine whether the Biden-Harris Administration attempted to use a foreign leader to benefit Vice President ...",2024-09-26
"17","https://www.breitbart.com/tag/douglas-emhoff/","Douglas Emhoff Articles - Breitbart","Sep 26, 2024 ... Doug Emhoff, husband of Vice President Kamala Harris, speaks at Union Station in Raleigh, Jewish Groups Blast Biden's Anitsemitism Strategy.",2024-09-26
"18","https://www.breitbart.com/politics/2024/09/28/tim-walz-booed-outside-of-michigan-minnnesota-football-game/","Tim Walz Booed Outside of Michigan-Minnnesota Football Game","Sep 28, 2024 ... In a video posted to TikTok, University of Michigan fans could be heard loudly booing at Walz, the vice presidential candidate and runningmate of Kamala Harris.",2024-09-28
"19","https://www.breitbart.com/clips/2024/09/24/cnns-phillip-harris-is-trying-to-float-above-the-immigration-arguments-and-some-details-on-immigration/","CNN's Phillip: Harris Is Trying 'To Float Above the Immigration ...","Sep 24, 2024 ... On Monday's broadcast of ""CNN NewsNight,"" host Abby Phillip said that the campaign of 2024 Democratic presidential candidate Vice President Kamala Harris ...",2024-09-24
"20","https://www.breitbart.com/politics/2024/09/30/walzs-alleged-ties-chinese-communist-party-deepen-eve-debate-with-vance/","Walz's Alleged Ties to Chinese Communist Party Deepen Before ...","Sep 30, 2024 ... ... Kamala Harris. “In particular, if a state governor and major political party's nominee for Vice President of the United States has been a witting or ...",2024-09-30
"21","https://www.breitbart.com/tag/prescription-drugs/","prescription drugs Articles - Breitbart","Sep 27, 2024 ... President Joe Biden and Vice President Kamala Harris walk along the West Colonnade of the. Exclusive–Former Trump Admin Official: Biden-Harris Drug Price ...",2024-09-27
"22","https://www.breitbart.com/clips/2024/09/28/msnbcs-hayes-harris-revived-path-to-citizenship-push-that-has-been-annihilated/","MSNBC's Hayes: Harris Revived Path to Citizenship Push That 'Has ...","Sep 28, 2024 ... Host Chris Hayes stated that 2024 Democratic presidential candidate Vice President Kamala Harris' speech at the border revived the push for a pathway to ...",2024-09-28
"23","https://www.breitbart.com/tag/robert-davi/","Robert Davi Articles - Breitbart","Sep 22, 2024 ... INDIANAPOLIS, INDIANA - JULY 24: Vice President Kamala Harris speaks to the Zeta Phi · Exclusive – Robert Davi Plays Strong, Defiant Jewish Leader in ...",2024-09-22
"24","https://www.breitbart.com/tag/chelsea-clinton/","Chelsea Clinton Articles - Breitbart","Sep 24, 2024 ... Guest host Chelsea Clinton said Thursday on ABC's “The View” that former President Donald Trump was “scared” of Vice President Kamala Harris after their debate.",2024-09-24
"25","https://www.breitbart.com/tag/xavier-becerra/","Xavier Becerra Articles - Breitbart","Sep 26, 2024 ... Kamala Harris Claims Most People Need Coronavirus Shot 'Once a Year,' Contradicting Public Health Officials. Vice President Kamala Harris is seemingly ...",2024-09-26
"26","https://www.breitbart.com/tag/gender-politics/","gender politics Articles - Breitbart","Sep 26, 2024 ... AP-NORC Poll: Democrats More Likely to See Kamala Harris's Gender as a Liability than They Were with Clinton ... Kamala Harris · Labour Party Plans to ...",2024-09-26
"27","https://www.breitbart.com/politics/2024/09/24/harris-co-chair-people-misremember-how-strong-our-recovery-has-been/","Harris Co-Chair: People 'Misremember' How 'Strong' Our Recovery ...","Sep 24, 2024 ... On Tuesday's broadcast of CNBC's ""Squawk Box,"" Harris-Walz Co-Chair Sen. Chris Coons (D-DE) stated that if you ask people if they're better off than they ...",2024-09-24
"28","https://www.breitbart.com/politics/2024/09/27/exclusive-deloitte-consultant-behind-ethically-questionable-leak-of-jd-vance-communications-to-washington-post/","Exclusive — Deloitte Consultant Behind Ethically Questionable ...","Sep 27, 2024 ... ... order to boost the failing Kamala Harris campaign.” 2024 Election · Politics · Deloitte · Exclusive 2024 Elections · JD Vance · Media Bias · On the Hill ...",2024-09-27
"29","https://www.breitbart.com/europe/2024/09/25/ukraine-tells-u-n-russia-must-be-forced-into-peace/","Zelensky Tells U.N. Russia Must be 'Forced Into Peace'","Sep 25, 2024 ... As well as the U.S. President, Zelensky also visited a U.S. munitions factory making shells for the war and is due to speak with Kamala Harris and Donald Trump, ...",2024-09-25
